Player,Salary,Batting average,On base percentage,Number of runs,Number of hits,Number of doubles,Number of home runs, Number of walks,  Number of strike-outs,Number of errors
"Lloyd McClendon",525,0.288,0.366,24,47,7,7,18,23,3
"Gary Varsho",367,0.273,0.344,23,51,11,4,19,34,1
"Jeff King",325,0.239,0.328,16,26,1,4,14,15,2
"Cecil Espy",320,0.244,0.281,7,20,4,1,5,17,2
"Orlando Merced",150,0.275,0.373,83,113,17,10,64,81,12
"John Wehner",113,0.34,0.381,15,36,7,0,7,17,6
"Carlos Garcia",113,0.25,0.28,2,6,0,0,1,8,1
"Pedro Guerrero",2425,0.272,0.326,41,116,12,8,37,46,16
"Andres Galarraga",2367,0.219,0.268,34,82,13,9,23,86,9
"Jose Guillen",2050,0.24,0.357,37,88,11,1,67,48,9
"Ozzie Smith",2000,0.285,0.38,96,157,30,3,83,36,8
"Milt Thompson",1617,0.307,0.368,55,100,16,6,32,53,2
"Gerald Perry",1167,0.24,0.3,29,58,8,6,22,34,5
"Tom Pagnozzi",992,0.264,0.319,38,121,24,2,36,63,7
"Rex Hudler",400,0.227,0.26,21,47,10,1,10,29,2
"Felix Jose",315,0.305,0.36,69,173,40,8,50,113,3
"Todd Zeile",315,0.28,0.353,76,158,36,11,62,94,25
"Ray Lankford",230,0.251,0.301,83,142,23,9,41,114,6
"Bernard Gilkey",135,0.216,0.316,28,58,7,5,39,33,1
"Geronimo Pena",130,0.243,0.322,38,45,8,5,18,45,6
"Terry Pendleton",3150,0.319,0.363,94,187,34,22,43,70,24
"Otis Nixon",2785,0.297,0.371,81,119,10,0,47,40,3
"Ron Gant",2700,0.251,0.338,101,141,35,32,71,104,6
"Sid Bream",2400,0.253,0.313,32,67,12,11,25,31,3
"Lonnie Smith",1750,0.275,0.377,58,97,19,7,50,64,5
"Jeff Treadway",1262,0.32,0.368,41,98,17,3,23,19,15
"Jeff Blauser",940,0.259,0.358,49,91,14,11,54,59,17
"David Justice",555,0.275,0.377,67,109,25,21,65,81,7
"Rafael Belliard",500,0.249,0.296,36,88,9,0,22,63,18
"Damon Berryhill",370,0.188,0.243,13,30,7,5,11,42,8
"Greg Olson",350,0.241,0.316,46,99,25,6,44,48,4
"Francisco Cabrera",148,0.242,0.284,7,23,6,4,6,20,3
"Brian Hunter",146,0.251,0.296,32,68,16,12,17,48,8
"Barry Larkin",4350,0.302,0.378,88,140,27,20,55,64,15
"Bill Doran",2833,0.28,0.359,51,101,12,6,46,39,7
"Paul O'Neill",2833,0.256,0.346,71,136,36,28,73,107,2
"Chris Sabo",2750,0.301,0.354,91,175,35,26,44,79,12
"Bip Roberts",1550,0.281,0.342,66,119,13,3,37,71,10
"Dave Martinez",1300,0.234,0.301,13,36,5,6,16,39,6
"Geronimo Berroa",1000,0.26,0.323,36,65,10,11,23,46,5
"Jeff Reed",750,0.267,0.321,20,72,15,3,23,38,5
"Hal Morris",430,0.318,0.374,72,152,33,14,46,61,9
