Country,Code,Land,Population,Energy,Rural,Military,Health,HIV,Internet,BirthRate,ElderlyPop,LifeExpectancy,GDP,Electricity
Lithuania,LTU,62670,3.358,9177,33,4.9,12.8,0.1,54.6,10.4,16,71.8,10933.4975,3430.79831
Malaysia,MAS,328550,27.014,72748,29.6,9.8,6.9,0.5,55.8,20.4,4.6,74.4,8372.831,3613.53081
Malta,MLT,320,0.412,819,5.7,1.5,12.3,0.1,49.5,10,14,79.4,19991.3046,4423.04435
Moldova,MDA,32890,3.633,3150,58.2,1.9,13,0.4,23.4,12.3,11.1,68.4,1630.7398,1018.06062
Morocco,MAR,446300,31.606,14977,44,10.9,6.6,0.1,32.6,20.4,5.3,71.3,2795.5424,755.56692
Netherlands,NED,33760,16.446,79681,18.2,3.5,16.2,0.2,87.9,11.2,14.7,80.3,46914.658,6895.66391
Nicaragua,NCA,120340,5.667,3520,43.3,3.2,18.7,0.2,3.3,24.6,4.4,73.1,1131.8241,459.52615
Nigeria,NGR,910770,151.212,111156,51.6,10.8,6.4,3.6,15.9,39.8,3.1,47.9,1222.4773,120.50769
Norway,NOR,305470,4.768,29670,22.5,4.2,16.7,0.1,90.5,12.7,14.6,80.6,84538.2426,23549.68992
Pakistan,PAK,770880,166.111,82839,63.8,18,3.1,0.1,11.1,30.1,4,66.5,1018.8728,449.32276
Paraguay,PAR,397300,6.238,4360,39.7,5.8,12.3,0.3,14.3,24.6,5,71.9,2840.3496,1055.99402
Peru,PER,1280000,28.837,14710,28.6,6.5,15.6,0.4,24.7,21.1,5.7,73.3,5401.3701,1135.7141
Philippines,PHI,298170,90.348,41067,35.1,4.9,6.1,0.1,6.2,24.7,4.1,71.8,2140.1216,593.45874
Poland,POL,304220,38.126,97881,38.7,5.7,10.9,0.1,53.1,10.9,13.3,75.5,12293.0352,3590.83208
Portugal,POR,91470,10.622,24159,40.5,4.8,15.4,0.5,44.4,9.8,17.5,78.5,21504.8142,4814.5861
Romania,ROU,229900,21.514,39380,45.8,4.4,11.8,0.1,32.2,10.3,14.9,72.6,7537.7097,2266.71746
RussianFederation,RUS,16376870,141.95,686757,27.2,16.3,9.2,1,32,12.1,13.3,67.8,10439.6424,6135.57279
Serbia,SRB,88360,7.35,16032,48,6.1,14.1,0.1,49.8,9.4,14.5,73.6,5268.8173,4224.39767
Singapore,SIN,700,4.839,18523,0,26.7,7.8,0.1,69.6,10.2,9.4,80.7,41122.1895,7948.91331
SlovakRepublic,SVK,48100,5.407,18304,43.4,4.6,15.4,0.1,71.2,10.6,12,74.7,16061.2506,4924.71289
Slovenia,SVN,20140,2.021,7735,51.4,4.1,12.9,0.1,57.5,10.8,16,78.8,22850.6665,6103.44129
SouthAfrica,RSA,1214470,48.793,134489,39.3,4.3,10.4,17.9,8.6,22,4.4,51.5,7275.344,4532.0219
Spain,ESP,499110,45.556,138793,22.9,4.6,15.2,0.4,58.2,11.4,16.9,81.9,30541.6065,6006.34818
SriLanka,SRI,62710,20.156,8935,84.9,18.5,7.9,0.1,5.8,18.8,7.3,74.1,2375.4493,408.48333
Switzerland,SUI,40000,7.648,26701,26.5,4.7,19.9,0.4,68.9,10,16.7,82,67463.7111,8021.09447
Thailand,THA,510890,67.386,107199,66.7,8.3,14.2,1.3,23.9,14.5,7.4,68.9,4608.1014,2044.82506
Togo,TOG,54390,6.459,2563,58,13,8,3.2,5.4,32.9,3.5,62.5,523.1431,110.81254
Tunisia,TUN,155360,10.328,9178,33.5,4.4,10.4,0.1,27.1,17.7,6.7,74.3,4198.5426,1311.25714
Turkey,TUR,769630,73.914,98502,31.3,9.7,12.8,0.1,34.4,18.2,5.8,71.9,10094.0344,2297.79686
Ukraine,UKR,579320,46.258,136143,32,7.2,8.6,1.1,22.5,11,15.9,68.3,3006.9153,3200.46555
UnitedKingdom,GBR,241930,61.407,208450,10.1,5.8,15.1,0.2,78.2,12.9,16.3,79.6,36143.938,5692.47674
UnitedStates,USA,9147420,304.375,2283722,18.3,18.6,18.7,0.6,75.8,14.3,12.6,78.4,47198.5045,12903.80675
Uruguay,URU,175020,3.334,4181,7.7,5.2,13.8,0.5,40.2,14.6,13.7,76,11995.8243,2670.90152
