"DO NOT LEND","High","Low","Moderate","Very Low"
0,0,0,1,0
0,1,0,0,0
0,1,0,0,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0.991525623569795,0,0.00847437643020556
0,0,0,0,1
0,0,1,0,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0.991525623569795,0,0.00847437643020556
0,0,0,0,1
0,0,1,4.32454709496411e-215,0
0,0,0.991525623569795,0,0.00847437643020556
0,1,0,0,0
0,1,0,0,0
0,0,0,1,6.72318607102232e-109
0,0,0.991525623569795,0,0.00847437643020556
0,0,0,1,0
0,0,0.991525623569795,0,0.00847437643020556
0,0,0.991525623569795,0,0.00847437643020556
0,0,0,0,1
0,1,0,0,0
0,0,0.991525623569795,0,0.00847437643020556
0,0,0,1,6.72318607102232e-109
0,0,0,1,0
0,0,0.991525623569795,0,0.00847437643020556
0,1,0,0,0
0,1,0,0,0
0,0,0,1,0
0,1,0,0,0
0,1,0,0,0
0,0,0,1,0
0,1,0,0,0
0,0,0,0,1
0,0,1,0,0
0,0,0.991525623569795,0,0.00847437643020556
0,0,1,0,0
0,0,0.991525623569795,0,0.00847437643020556
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0.991525623569795,0,0.00847437643020556
0,0,0.991525623569795,0,0.00847437643020556
0,1,0,0,0
0,0,0.991525623569795,0,0.00847437643020556
0,0,0.991525623569795,0,0.00847437643020556
0,0,0,1,0
0,1,0,0,0
0,1,0,0,0
0,0,0,1,0
0,0,0.991525623569795,0,0.00847437643020556
0,0,0.991525623569795,0,0.00847437643020556
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,1,0
0,1,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0.991525623569795,0,0.00847437643020556
0,0,0,1,0
0,0,0.991525623569795,0,0.00847437643020556
0,0,0.991525623569795,0,0.00847437643020556
0,0,0.991525623569795,0,0.00847437643020556
0,0,0,1,0
0,1,0,0,0
1,0,0,6.48993541345145e-244,0
0,1,0,0,0
0,0,0.991525623569795,0,0.00847437643020556
0,1,0,0,0
0,0,0,1,0
0,0,0,0,1
0,1,0,0,0
0,0,0.991525623569795,0,0.00847437643020556
0,1,0,0,0
0,0,0,1,0
0,0,0,1,6.72318607102232e-109
0,1,0,0,0
0,0,0.991525623569795,0,0.00847437643020556
0,0,1,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0.991525623569795,0,0.00847437643020556
0,1,0,0,0
0,0,0.991525623569795,0,0.00847437643020556
0,1,0,0,0
0,0,0,0,1
0,0,0.991525623569795,0,0.00847437643020556
0,1,0,0,0
0,1,0,0,0
0,0,0,0,1
0,0,0.991525623569795,0,0.00847437643020556
0,0,0,1,0
0,1,0,0,0
0,0,1,4.32454709496411e-215,0
0,0,0,0,1
0,0,1,4.32454709496411e-215,0
0,0,0.991525623569795,0,0.00847437643020556
0,0,0.991525623569795,0,0.00847437643020556
0,0,0.991525623569795,0,0.00847437643020556
0,1,0,0,0
0,1,0,0,0
0,0,0.991525623569795,0,0.00847437643020556
0,0,0.991525623569795,0,0.00847437643020556
0,0,0.991525623569795,0,0.00847437643020556
1,0,0,6.48993541345145e-244,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0.991525623569795,0,0.00847437643020556
0,0,0,1,0
0,0,0.991525623569795,0,0.00847437643020556
0,0,0,0,1
0,0,0.991525623569795,0,0.00847437643020556
0,0,0,1,6.72318607102232e-109
0,0,0,0,1
0,0,0,0,1
0,0,0.991525623569795,0,0.00847437643020556
0,0,0.991525623569795,0,0.00847437643020556
0,0,0,1,6.72318607102232e-109
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,1,0,0,0
0,1,0,0,0
0,0,0.991525623569795,0,0.00847437643020556
0,0,0,1,0
1,0,0,6.48993541345145e-244,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,1,0,0
0,0,0,1,0
0,1,0,0,0
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,1,4.32454709496411e-215,0
0,0,0.991525623569795,0,0.00847437643020556
0,0,1,0,0
0,0,0,0,1
0,1,0,0,0
0,1,0,0,0
