Record_ID,Age,Community_Buildin,Community_Membership_Family,Community_Membership_Hobbies,Community_Membership_None,Community_Membership_Other,Community_Membership_Political,Community_Membership_Professional,Community_Membership_Religious,Community_Membership_Support,Country,Disability_Cognitive,Disability_Hearing,Disability_Motor,Disability_Not_Impaired,Disability_Not_Say,Disability_Vision,Education_Attainment,Falsification_of_Information,Gender,Household_Income,How_You_Heard_About_Survey_Banner,How_You_Heard_About_Survey_Friend,How_You_Heard_About_Survey_Mailing_List,How_You_Heard_About_Survey_Others,How_You_Heard_About_Survey_Printed_Media,How_You_Heard_About_Survey_Remebered,How_You_Heard_About_Survey_Search_Engine,How_You_Heard_About_Survey_Usenet_News,How_You_Heard_About_Survey_WWW_Page,Major_Geographical_Location,Major_Occupation,Marital_Status,Most_Import_Issue_Facing_the_Internet,Opinions_on_-Censorship,Primary_Language,Primary_Place_of_WWW_Access,Race,Not_Purchasing_Bad_experience,Not_Purchasing_Bad_press,Not_Purchasing_Cant_find,Not_Purchasing_Company_policy,Not_Purchasing_Easier_locally,Not_Purchasing_Enough_info,Not_Purchasing_Judge_quality,Not_Purchasing_Never_tried,Not_Purchasing_No_credit,Not_Purchasing_Not_applicable,Not_Purchasing_Not_option,Not_Purchasing_Other,Not_Purchasing_Prefer_people,Not_Purchasing_Privacy,Not_Purchasing_Receipt,Not_Purchasing_Security,Not_Purchasing_Too_complicated,Not_Purchasing_Uncomfortable,Not_Purchasing_Unfamiliar_vendor,Registered_to_Vote,Sexual_Preference,Web_Ordering,Web_Page_Creation,Who_Pays_for_Access_Dont_Know,Who_Pays_for_Access_Other,Who_Pays_for_Access_Parents,Who_Pays_for_Access_School,Who_Pays_for_Access_Self,Who_Pays_for_Access_Work,Willingness_to_Pay_Fees,Years_on_Internet
21,63,0,0,1,0,0,0,0,0,1,50,0,0,1,0,0,0,1,2,1,6,0,0,1,0,0,0,0,0,0,6,99,5,2,1,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,0,0,0,0,1,0,99,2
22,34,2,0,0,0,0,0,1,0,0,54,0,0,0,1,0,0,5,2,1,5,0,0,0,0,0,0,0,0,1,3,3,3,4,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,99,3
23,39,0,1,1,0,0,0,1,0,0,20,0,0,0,1,0,0,3,2,1,6,0,0,0,0,0,0,0,1,0,5,0,5,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,4,3
24,33,0,1,1,0,0,0,1,0,0,32,0,0,0,1,0,0,4,1,1,6,0,0,0,0,0,1,1,0,0,5,0,3,2,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,99,3
25,60,98,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,1,5,99,1,98,2,1,2,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,2,1,1,2,0,0,0,0,1,0,4,0
26,26,2,0,0,0,0,0,1,0,0,36,0,0,0,1,0,0,3,1,0,5,0,0,0,1,0,0,0,0,0,5,99,3,98,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1,0,99,1
27,35,0,1,1,0,0,0,1,0,1,20,0,0,0,1,0,0,2,5,0,5,0,0,0,0,1,0,0,0,0,5,2,5,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,4,1
28,50,0,0,1,0,0,0,0,1,0,20,0,0,1,0,0,0,1,1,0,4,0,0,0,1,0,0,0,0,0,5,99,3,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1
29,40,98,0,0,0,1,0,0,0,0,29,0,0,0,1,0,0,3,2,1,0,0,0,0,1,0,0,0,0,0,5,99,5,2,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,99,1
30,29,98,0,0,0,1,0,0,0,0,8,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,5,2,3,99,3,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,2,1,0,0,0,0,1,0,99,1
31,27,2,0,0,0,0,0,1,0,0,55,0,0,0,1,0,0,4,1,0,3,0,0,1,0,0,0,0,0,0,4,2,5,6,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,99,2
32,23,0,0,1,0,0,0,0,0,1,19,0,0,0,1,0,0,4,0,0,5,0,0,0,0,0,0,0,0,1,5,2,5,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,1,2,0,0,0,0,1,1,99,1
33,19,98,1,0,0,0,0,0,0,0,7,0,0,0,1,0,0,3,5,0,4,0,1,0,0,0,0,0,0,0,5,3,99,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,1,1,0,4,1
34,17,2,1,0,0,0,0,0,0,0,35,0,0,0,1,0,0,3,2,0,8,0,0,0,0,0,0,0,0,1,5,3,5,6,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,2,0,0,1,1,0,0,99,2
35,45,98,0,0,1,0,0,0,0,0,35,0,0,0,1,0,0,5,1,0,6,0,0,0,0,0,0,0,0,1,5,0,3,6,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,2,2,0,0,0,0,1,0,4,2
36,34,2,0,1,0,0,0,0,1,0,57,0,0,0,0,0,1,4,1,1,3,0,0,0,0,0,0,0,0,1,6,2,3,6,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,0,0,0,0,1,0,99,2
37,31,98,0,1,0,0,0,0,0,0,10,0,0,0,1,0,0,3,2,0,3,0,0,0,1,0,0,1,0,0,5,0,3,0,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0,4,3
38,59,2,1,1,0,0,0,1,0,0,29,0,0,0,1,0,0,4,1,1,3,1,0,0,0,0,0,0,0,0,5,1,99,4,1,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,0,0,0,0,1,0,99,1
39,37,0,0,1,0,0,0,0,0,0,7,0,0,0,1,0,0,7,1,1,0,0,0,0,0,0,0,0,0,1,5,2,5,98,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,0,0,0,0,1,0,4,0
40,55,0,0,1,0,0,0,1,0,0,48,0,0,0,1,0,0,5,1,0,6,0,0,1,0,0,0,0,0,0,5,2,99,1,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,2,0,0,0,0,1,0,4,2
41,17,2,0,0,0,1,0,0,1,1,30,0,0,0,1,0,0,1,1,1,6,0,0,0,0,0,0,1,0,0,5,3,5,1,1,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,2,0,0,1,0,0,0,4,2
42,54,0,1,1,0,0,1,1,0,0,45,0,0,0,1,0,0,3,0,1,4,0,0,0,1,0,0,0,0,0,5,0,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,2,0,0,0,0,1,0,4,2
43,41,0,0,0,0,1,0,0,0,0,28,0,0,0,1,0,0,1,2,1,8,0,0,0,0,0,0,0,0,1,5,1,3,2,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,2,2,0,0,0,0,1,0,5,1
44,24,0,1,1,0,0,0,1,0,0,11,0,0,0,1,0,0,4,1,0,3,0,0,0,0,0,0,0,0,1,5,2,5,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,1,0,4,2
45,40,98,0,0,1,0,0,0,0,0,40,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,5,1,5,6,2,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,2,0,0,0,0,1,0,4,0
46,55,0,0,0,0,1,0,0,0,0,29,0,1,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,1,5,99,3,2,1,1,2,99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,4,2
47,37,1,0,0,0,0,0,1,0,0,58,0,0,0,0,1,0,1,6,1,0,0,0,0,0,1,0,0,0,0,4,2,1,4,1,10,4,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,4,1
48,31,2,0,1,0,0,0,1,0,0,8,0,0,0,1,0,0,5,1,1,5,1,0,0,0,0,0,0,0,0,5,2,1,1,4,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,99,2
49,23,0,0,1,0,0,0,0,0,0,38,0,0,0,1,0,0,3,3,1,1,0,0,0,0,0,0,0,0,1,5,3,5,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,99,2
50,28,2,0,1,0,0,0,0,0,0,16,0,0,0,1,0,0,1,6,1,2,1,0,0,0,0,0,0,0,1,5,99,5,1,3,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,2,2,0,0,0,0,1,0,4,0
51,44,0,1,1,0,0,0,1,0,0,42,0,0,0,1,0,0,5,1,1,8,0,0,1,0,0,0,0,0,0,5,0,3,99,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,99,4
52,24,2,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,3,2,1,7,0,0,0,0,0,0,0,0,1,5,3,5,2,4,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,4,4
53,23,0,0,0,0,0,0,1,0,0,23,0,0,0,1,0,0,4,3,1,2,0,1,0,0,0,0,0,0,0,5,3,5,6,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,4,1
54,36,0,1,1,0,0,0,0,1,1,22,0,0,0,1,0,0,3,1,0,3,0,0,0,0,0,0,0,1,0,5,99,1,98,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2,2,0,0,0,0,1,0,4,0
55,20,2,0,0,1,0,0,0,0,0,59,0,0,0,1,0,0,3,2,1,1,0,0,0,0,0,0,0,0,1,4,3,5,6,4,9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,99,3
56,0,2,0,0,1,0,0,0,0,0,14,0,0,0,1,0,0,3,1,1,2,1,0,0,0,0,0,0,0,0,5,0,5,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,2
57,20,98,1,0,0,0,0,0,0,0,43,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,1,5,3,5,1,4,1,0,4,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,2,2,0,0,0,1,0,0,1,2
58,48,2,0,0,1,0,0,0,0,0,20,0,0,0,1,0,0,3,1,1,5,0,0,0,0,0,0,1,0,0,5,99,6,4,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,1,0,99,2
59,69,98,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4,6,1,0,0,0,0,0,0,0,0,0,1,5,2,6,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,2,2,0,0,0,0,1,0,4,2
60,45,98,0,1,0,0,0,0,0,0,28,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,1,5,99,3,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,2,2,0,0,0,0,1,0,99,1
61,28,98,0,0,1,0,0,0,0,0,21,0,0,0,1,0,0,5,2,0,7,0,0,0,0,0,1,0,0,0,5,2,5,1,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,99,3
62,30,2,0,1,0,0,0,0,1,0,5,0,0,0,1,0,0,3,1,0,6,0,0,0,0,0,0,0,0,1,5,1,3,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,2,3
63,23,2,0,0,1,0,0,0,0,0,18,0,0,0,1,0,0,4,4,0,8,1,0,0,0,0,0,0,0,0,5,2,5,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,99,3
64,25,1,0,1,0,0,0,0,0,0,43,0,0,0,1,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,5,99,3,2,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,1,0
65,42,2,0,0,1,0,0,0,0,0,59,0,0,0,1,0,0,5,2,1,2,0,0,0,0,0,0,0,0,1,4,3,3,6,4,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,2
66,21,2,1,1,0,1,0,1,0,1,11,0,0,0,1,0,0,3,1,1,6,0,0,0,0,0,0,0,0,1,5,3,5,2,4,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,4,2
67,42,98,0,0,1,0,0,0,0,0,28,0,0,0,1,0,0,3,1,1,4,0,0,0,0,0,0,0,1,0,5,2,5,2,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2,0,0,0,0,1,0,4,1
68,21,2,0,0,1,0,0,0,0,0,35,1,0,0,0,0,0,3,2,0,5,0,0,0,0,0,0,1,0,1,5,3,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,1,0,0,4,2
69,28,0,1,0,0,0,0,1,1,0,41,0,0,0,1,0,0,3,6,1,5,0,0,0,0,0,0,0,0,1,5,99,3,98,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,1,0,0,99,0
70,23,0,0,1,0,0,0,1,0,0,5,0,0,0,1,0,0,3,2,1,6,0,0,0,1,0,0,0,0,0,5,0,3,6,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,2,3
71,17,2,0,1,0,0,0,0,0,0,45,0,0,0,1,0,0,1,2,1,6,0,0,0,0,0,0,0,0,1,5,3,5,99,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,1,2,2,0,0,1,0,0,0,1,0
72,47,2,1,0,0,1,0,0,0,0,45,0,0,0,1,0,0,4,6,1,4,0,0,0,0,0,0,0,1,0,5,99,1,6,3,1,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,0,0,0,0,1,0,1,1
73,43,2,0,0,1,0,0,0,0,0,25,0,0,0,1,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,5,0,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,2,4
74,20,98,1,0,0,0,0,1,1,0,20,0,0,0,0,0,1,3,2,0,6,0,0,0,0,0,0,0,0,1,5,3,5,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,1,0,0,1,2
75,44,1,0,0,0,1,0,1,0,0,11,0,0,0,1,0,0,4,4,0,6,0,0,0,0,0,0,0,0,1,5,2,5,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,99,3
76,38,98,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0,1,5,0,3,1,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,1,1,0,0,0,0,1,0,99,3
77,26,0,0,1,0,1,0,1,0,0,40,0,0,0,1,0,0,4,1,1,2,0,0,0,0,0,0,0,1,0,5,3,5,99,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,1,0,99,2
78,49,98,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,4,1,1,8,0,0,0,1,0,0,0,0,0,5,1,5,0,4,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,4,2,2,0,0,0,0,1,1,99,3
79,38,0,0,0,0,0,0,1,0,0,51,0,0,0,1,0,0,4,2,1,3,0,0,1,0,0,0,0,0,0,6,0,3,1,1,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,99,3
80,50,0,1,1,0,0,0,1,0,0,43,0,0,0,1,0,0,5,1,1,8,0,0,0,0,0,0,0,0,1,5,0,3,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,99,3
81,49,0,0,0,0,0,0,1,0,1,54,0,0,0,1,0,0,7,1,0,6,0,1,0,0,0,0,0,0,0,3,0,99,1,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,1,4,3
82,37,98,0,0,1,0,0,0,0,0,29,0,0,0,1,0,0,4,1,1,8,0,0,0,0,0,0,0,0,1,5,0,3,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,2,3
83,22,2,0,0,0,0,0,1,0,1,55,0,0,0,1,0,0,4,1,1,3,0,0,1,0,0,0,0,0,0,4,0,5,99,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,5,0
84,5,98,1,0,0,0,0,0,0,0,35,0,0,0,1,0,0,3,6,0,1,0,0,0,0,0,0,0,0,1,5,99,4,6,4,1,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1,0,4,0
85,34,0,0,0,0,0,0,1,0,0,15,0,0,0,1,0,0,5,5,0,8,0,0,0,0,0,0,0,0,1,5,2,5,6,1,7,1,99,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,2,0,0,0,0,0,1,4,2
86,42,0,0,1,0,0,0,0,0,0,40,0,0,0,1,0,0,1,1,0,4,0,0,0,0,0,0,0,0,1,5,99,4,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,3,3
87,57,0,1,0,0,0,0,1,0,1,47,0,0,0,1,0,0,2,0,1,5,0,0,0,0,0,0,1,0,0,5,2,1,1,4,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,1,0,1,1
