person_id,sex,age,foreign_residence,offshore_account,previous_arrest,unverified_phone,international_passport,unverified_address,former_conviction,surveillance_data,high_ticket_sales,frequent_relocation
29310,M,22,0,0,1,0,0,0,0,0,0,0
101031,M,16,1,0,0,0,0,1,0,0,0,1
100393,M,22,1,1,1,1,0,0,0,1,1,0
38723,F,16,0,0,0,0,1,1,0,1,0,0
16350,F,16,1,0,0,1,0,0,0,0,0,0
91545,M,45,0,1,0,1,0,0,0,1,1,1
33167,F,21,0,0,1,1,1,0,1,0,0,1
95887,M,27,0,0,1,0,0,0,0,0,0,0
90933,M,31,1,0,0,0,1,0,0,0,0,0
34529,F,18,0,1,1,1,1,0,1,1,0,0
93469,M,16,1,0,0,1,0,0,0,0,1,1
94685,M,29,0,0,1,0,0,0,0,0,0,0
10987,F,21,0,1,0,0,0,0,0,0,0,1
81825,F,21,0,0,0,0,1,1,0,1,0,0
91055,F,23,0,0,0,0,0,1,0,0,0,0
78598,M,30,0,0,0,0,0,0,0,1,0,1
33413,F,39,0,0,0,1,0,0,0,1,0,0
81851,F,19,0,0,0,0,0,0,0,0,1,0
62789,M,25,0,0,0,0,0,1,0,0,0,1
78626,M,47,0,0,0,1,1,0,0,1,0,0
14996,M,17,1,0,0,0,1,0,0,0,0,0
57851,F,43,0,1,1,0,0,0,0,0,0,0
105188,M,39,0,0,0,0,1,0,0,0,0,0
96474,F,40,0,1,0,0,0,0,0,0,0,0
42653,M,49,0,1,0,0,0,0,0,0,1,0
17939,F,46,0,0,0,0,0,0,0,0,0,1
69884,M,30,0,1,0,1,1,1,0,1,0,0
46005,M,32,0,0,0,0,0,1,0,0,0,0
71254,F,45,1,0,0,0,1,1,0,1,0,0
57102,M,30,0,0,0,0,1,1,0,1,0,0
28755,F,25,1,0,0,1,0,0,0,1,1,1
28081,M,16,1,0,0,0,1,0,1,1,1,0
100047,F,23,0,0,0,0,0,1,0,0,0,0
18917,M,47,0,0,0,0,1,1,0,0,0,0
67455,F,40,0,0,0,0,0,1,0,0,0,0
106522,M,22,0,0,0,1,0,0,1,0,0,0
28629,M,31,1,0,0,1,0,0,0,0,0,0
99578,M,27,0,0,1,0,0,0,0,1,0,1
94231,M,28,0,1,0,0,0,0,0,0,0,0
40282,F,42,1,0,1,0,1,1,0,1,0,0
70018,F,39,1,0,0,0,0,1,0,0,0,0
96333,M,26,1,0,0,0,0,0,0,0,0,1
75130,F,33,1,0,1,0,0,1,0,0,0,0
84497,F,31,0,1,0,0,0,1,0,0,0,0
15663,F,45,0,0,0,0,1,0,0,0,0,0
69934,F,41,1,1,0,0,0,0,0,1,1,0
85348,F,24,1,0,0,1,0,0,0,0,0,0
69372,F,35,0,0,0,0,1,0,0,0,0,0
96561,M,29,0,1,0,0,1,0,0,1,0,0
96512,F,43,0,1,0,0,0,0,0,0,1,0
88260,F,34,0,1,0,0,1,0,0,0,0,0
82096,M,23,0,0,1,0,0,1,0,0,0,0
24534,F,22,0,0,1,1,1,1,0,1,1,1
102467,F,48,0,1,0,1,1,1,0,1,0,0
40743,M,24,1,1,0,0,0,0,0,0,0,0
97287,M,49,0,1,0,0,0,0,0,0,0,0
58235,F,45,0,0,0,1,0,1,0,1,0,0
58144,F,38,1,0,0,1,0,0,0,0,1,0
89250,F,29,0,0,0,0,0,1,0,1,0,0
104971,F,24,0,0,0,0,1,0,0,0,0,0
36857,M,49,0,0,0,1,1,1,0,1,0,0
20521,M,44,0,0,1,1,0,0,0,1,0,0
34809,F,38,1,1,0,1,0,0,0,0,0,0
94531,M,41,0,1,0,0,1,1,0,1,0,0
18953,F,17,0,0,0,0,0,0,0,0,0,0
96289,M,47,1,0,0,0,0,1,0,0,0,1
18517,M,38,0,0,0,0,1,0,0,0,0,0
10902,M,47,0,0,1,0,0,0,1,0,0,0
69802,F,33,1,1,0,1,0,1,0,0,0,0
103147,M,28,0,0,0,0,0,0,0,0,0,0
95655,F,42,0,0,0,1,1,1,0,1,0,0
28427,M,32,0,0,1,1,0,0,0,1,0,0
104554,M,21,0,0,0,0,1,0,0,0,0,0
76944,F,34,1,1,0,0,1,1,0,1,0,0
16316,M,22,1,0,0,1,0,0,0,0,0,0
63880,F,23,1,0,1,1,0,0,0,0,0,0
57615,M,41,0,1,1,0,0,0,0,1,0,0
87450,F,38,0,0,0,1,1,0,0,1,0,0
109551,M,35,0,1,0,0,1,1,0,1,0,0
101100,M,42,0,1,1,0,0,1,1,0,1,0
41841,M,40,1,1,0,0,0,0,0,1,0,0
62455,F,43,1,0,0,0,0,1,1,1,0,1
79384,F,45,1,0,0,1,0,0,0,1,0,1
20260,M,21,0,0,0,0,1,1,0,1,0,0
84033,F,31,1,0,0,1,0,0,0,0,0,1
84902,M,50,1,0,0,0,0,0,0,0,0,0
63694,F,29,0,0,0,0,0,0,0,0,0,1
97761,F,38,0,1,0,1,1,1,0,1,0,0
90462,M,36,1,1,0,1,0,1,0,0,1,0
89041,M,25,0,0,1,1,0,1,0,0,0,0
14743,M,48,1,0,0,1,0,1,0,0,0,0
19209,M,21,1,0,1,1,0,0,0,0,1,0
61329,F,49,1,0,0,0,1,1,0,1,0,0
15590,M,41,0,0,0,0,0,0,0,1,0,0
105095,F,50,0,0,0,1,1,0,0,0,0,1
15835,F,41,0,1,1,0,0,0,0,0,0,1
38600,M,48,0,0,1,0,1,1,0,1,0,0
70206,M,33,0,0,0,0,0,0,0,1,0,0
83883,F,47,0,1,0,1,1,1,0,1,0,0
65418,F,48,0,1,0,0,0,0,0,1,0,0
92125,F,17,0,1,0,0,0,0,0,1,0,0
105429,M,43,1,0,0,1,1,0,0,0,0,0
12547,M,35,0,0,0,1,0,0,0,1,0,0
14301,M,33,1,0,1,0,0,0,0,0,0,0
96584,M,39,1,1,0,0,0,0,0,0,0,1
95479,M,32,1,0,1,0,1,1,0,1,0,1
20556,M,18,0,1,0,0,0,0,0,0,1,0
24864,F,38,1,1,0,1,0,0,0,0,0,0
13747,F,38,0,0,0,0,1,1,0,1,0,0
97967,F,48,0,0,0,0,0,0,0,0,0,0
85472,F,48,1,0,0,0,0,0,0,1,0,0
109884,F,18,0,0,1,1,1,0,0,1,1,0
51818,M,34,1,0,0,1,0,0,0,0,0,0
10451,M,19,1,0,0,1,1,1,0,0,1,0
99624,F,36,1,1,0,1,0,0,0,0,1,0
38645,F,20,0,0,0,0,0,0,0,0,1,0
109000,F,22,0,1,0,1,0,0,0,0,0,0
71462,F,42,0,1,0,1,1,1,0,1,0,0
54152,M,38,1,1,0,1,0,1,0,0,0,0
99164,M,26,1,0,0,1,0,0,0,0,0,0
65088,M,19,0,0,0,0,0,1,0,0,0,0
13325,F,48,0,1,0,0,1,0,0,0,1,1
26396,M,47,0,1,0,0,0,0,0,0,0,0
30132,M,23,1,0,0,1,0,0,0,0,0,0
38063,F,16,0,1,0,0,0,0,0,0,1,0
98836,F,29,1,1,1,1,0,0,0,1,0,1
66191,F,35,1,1,0,0,1,1,0,1,0,0
84042,M,27,0,0,0,0,0,0,0,0,0,1
51183,F,25,0,0,0,0,0,0,0,0,1,0
47441,F,36,0,1,0,0,1,1,0,1,0,0
62995,F,30,0,0,0,0,1,0,0,0,0,0
51916,F,23,0,0,1,1,0,0,0,1,0,0
14875,M,36,0,1,1,1,0,0,0,0,0,1
85081,F,29,0,0,1,1,0,0,0,0,0,1
11818,F,48,0,0,0,0,0,0,0,0,0,0
35707,M,42,1,0,0,1,1,0,0,0,0,0
28528,F,45,0,1,0,0,0,0,0,0,0,0
60688,M,38,0,0,0,1,1,1,0,1,1,1
103316,M,46,0,0,1,0,0,1,0,0,0,1
93963,M,21,0,0,0,1,0,0,0,0,0,0
93401,F,25,1,1,0,1,0,0,0,0,0,1
19519,M,31,1,0,0,1,1,0,0,0,0,0
70182,F,18,0,0,1,1,1,0,0,0,0,0
31552,M,17,0,0,0,0,1,0,0,0,0,0
36951,F,32,0,0,0,0,1,1,0,0,0,0
73004,M,18,1,1,1,1,0,1,0,1,1,1
89872,F,40,0,1,1,0,0,0,0,0,1,0
50104,M,23,0,0,0,0,0,0,0,0,0,1
101414,F,38,0,0,0,0,0,0,0,0,0,0
44562,F,50,1,1,0,1,1,0,0,0,1,1
46071,F,32,0,1,0,0,0,0,0,0,1,0
93974,M,33,1,0,1,1,1,1,1,0,1,0
32302,F,37,0,0,0,1,1,1,0,1,0,0
63368,M,38,1,1,1,0,0,0,0,0,1,1
42037,M,25,0,1,0,0,0,0,0,0,0,0
95896,M,21,1,0,1,0,0,1,0,0,0,0
36863,F,34,0,1,0,0,0,0,0,0,1,0
84799,M,21,0,1,0,0,1,1,0,1,0,0
35519,M,32,1,0,0,0,0,0,0,1,0,0
50258,F,25,0,0,0,0,1,0,0,0,0,0
80617,F,43,1,0,0,1,0,0,0,0,0,0
17830,F,47,0,0,1,0,0,0,0,0,0,0
71276,F,45,1,0,1,0,0,0,0,0,0,0
10944,M,46,0,1,0,0,0,0,0,0,0,0
66988,M,43,1,0,0,0,0,0,0,0,0,0
80438,M,38,0,0,1,0,0,0,0,0,0,0
76264,M,16,0,0,0,0,0,1,0,0,0,0
39077,M,34,1,1,0,1,1,1,0,1,0,1
55625,F,38,1,0,0,1,0,0,0,1,0,0
91913,M,45,1,0,0,1,0,0,0,0,0,0
29640,F,27,0,0,0,1,0,0,0,0,0,0
14368,F,31,0,1,0,1,0,0,0,0,0,0
107714,F,21,0,0,1,0,1,0,0,1,0,0
47307,F,45,1,0,1,0,0,1,1,1,1,1
106004,M,27,1,1,0,0,0,1,1,1,1,1
37917,F,32,0,0,1,1,0,0,0,1,0,1
69718,F,29,1,0,1,0,1,1,0,1,0,1
46054,M,46,1,0,0,1,0,0,0,0,1,1
37114,M,37,0,0,1,1,0,0,0,1,0,0
65493,M,43,1,1,0,0,1,1,0,0,1,0
85860,F,17,0,0,0,0,0,0,0,0,1,0
55951,M,39,1,1,1,1,0,0,1,0,0,0
87270,M,29,1,0,0,1,0,0,0,1,0,0
103473,F,26,0,0,0,1,0,0,0,0,0,0
15072,M,34,0,1,0,0,0,1,0,0,0,0
84903,F,17,0,1,0,0,0,1,0,0,0,0
28959,M,38,0,0,1,0,0,1,0,0,1,0
90147,M,30,1,0,0,1,0,1,0,0,0,0
95354,M,35,0,0,0,1,1,1,0,0,1,0
61309,M,44,0,0,1,0,0,0,0,0,1,0
15109,M,49,0,1,0,0,0,0,0,0,0,0
55550,M,28,0,0,0,1,1,1,0,1,0,0
55992,M,30,0,0,0,0,0,0,0,0,0,1
10645,M,20,1,0,1,1,0,0,0,0,0,1
96371,M,37,1,0,0,0,1,1,0,1,0,0
64561,F,33,0,1,1,0,1,1,0,1,0,1
109132,F,38,0,0,0,0,0,0,0,1,0,0
93304,M,34,0,0,0,0,0,1,0,1,0,0
10236,F,44,1,1,0,1,1,1,0,1,0,1
45102,M,16,1,0,0,1,0,0,0,0,0,0
28994,F,18,1,0,0,0,0,1,0,0,0,1
23037,F,45,0,0,1,0,0,0,1,1,1,0
29224,F,16,0,0,1,0,0,1,0,1,1,0
64668,M,49,0,1,1,0,0,1,1,0,0,1
48783,M,50,0,1,0,0,0,0,0,0,0,0
102733,F,24,1,1,0,1,1,0,0,0,0,0
99457,F,16,0,1,0,0,0,0,0,0,0,0
29625,M,43,0,0,0,0,0,0,0,0,0,0
39952,M,37,0,0,0,0,1,1,0,1,0,0
30558,F,34,0,1,1,0,0,0,0,0,0,0
62264,M,26,0,0,0,1,0,0,0,0,0,1
61144,F,24,0,0,0,1,0,0,0,1,0,1
43044,M,32,1,1,0,0,1,1,0,0,0,0
81690,F,36,0,1,0,0,0,1,0,0,0,0
25180,M,38,0,0,1,0,0,0,0,0,0,1
29343,F,46,0,0,0,1,0,0,0,1,0,0
89233,F,17,0,0,0,0,0,0,0,0,1,0
18708,F,35,0,0,1,1,0,0,0,1,0,0
102645,F,23,1,1,0,1,0,0,0,0,1,0
29483,M,16,1,0,1,1,1,0,0,1,0,0
25774,F,48,0,1,1,0,0,0,0,0,0,1
55629,M,27,0,1,0,0,1,1,1,1,1,1
28498,F,38,0,0,0,0,0,0,0,0,0,0
10609,F,41,1,0,0,0,0,1,0,0,0,0
46471,M,23,1,1,0,1,0,0,0,0,0,0
49632,M,21,0,0,0,0,1,1,0,0,1,0
79875,F,39,0,0,0,0,0,0,0,1,0,0
28061,F,43,0,1,0,0,0,0,1,1,1,0
86681,F,50,0,0,1,1,0,0,0,0,1,0
98635,F,22,0,0,1,0,0,0,1,1,1,0
24566,F,34,0,0,0,0,0,1,0,0,0,0
104165,M,43,0,0,1,0,1,1,0,1,0,0
65225,F,48,0,1,0,0,0,0,0,0,0,0
37939,M,18,0,0,0,0,0,0,0,0,0,1
95921,F,43,0,1,0,1,1,1,0,0,0,0
83127,M,21,1,0,0,0,0,1,0,0,0,0
42459,F,47,0,0,0,1,0,0,0,1,0,0
95141,F,37,1,0,0,0,0,0,0,0,0,0
40949,M,39,0,0,0,0,0,1,0,0,0,0
106585,M,50,0,0,0,1,1,1,0,1,1,0
29192,M,29,1,0,0,1,0,0,0,0,1,0
25765,F,25,1,0,0,0,0,1,0,1,0,0
54190,F,24,1,0,0,1,1,1,1,1,0,1
24258,F,23,0,0,0,0,0,0,0,0,0,0
71343,M,38,0,0,0,1,1,1,0,1,1,0
37917,F,26,0,1,1,0,0,0,0,0,0,0
104988,M,39,1,0,0,0,1,1,0,1,0,0
55295,F,47,0,1,1,0,0,0,0,0,0,0
70359,F,46,0,0,0,0,0,0,0,0,0,1
108718,M,18,1,0,0,0,0,0,0,1,0,0
104722,M,38,0,0,0,0,0,1,0,1,0,0
51939,M,47,0,0,0,1,0,0,0,0,0,0
58343,M,44,1,0,1,0,1,0,0,1,0,1
79039,M,46,0,1,0,0,0,1,0,0,0,1
31011,M,16,0,1,0,0,1,1,0,1,0,1
17747,M,37,0,1,0,0,0,0,0,0,1,0
47343,F,41,0,0,0,0,1,1,0,1,0,0
58388,M,39,1,1,1,1,1,1,1,1,1,0
47638,M,41,0,0,0,0,1,1,0,1,0,1
91972,F,18,0,1,0,0,0,0,0,0,0,1
23501,M,49,0,0,0,0,1,1,0,0,0,0
14015,M,38,0,0,1,1,0,0,0,0,0,0
68058,F,22,0,0,0,0,1,1,0,1,0,0
40090,F,25,0,0,0,0,0,0,0,0,1,0
68156,F,40,0,1,0,1,0,0,0,0,0,0
44887,M,41,0,1,0,1,1,1,1,1,0,1
17201,M,16,0,1,0,0,0,0,0,0,1,0
98181,F,24,0,0,1,0,0,0,1,1,1,0
59297,F,28,0,1,0,0,1,0,0,0,0,0
19915,F,21,0,0,0,0,0,0,0,0,0,1
62175,M,16,1,1,1,0,0,0,0,0,0,0
71832,F,43,0,0,1,0,0,1,0,1,0,0
27664,F,26,0,0,0,0,1,1,0,1,0,1
63817,M,28,0,1,1,1,1,1,0,1,0,1
78639,M,48,0,0,0,0,0,1,0,0,0,0
106649,F,22,0,0,0,0,0,0,0,1,0,0
43111,F,27,1,0,0,1,0,0,0,0,0,0
32432,M,34,0,0,1,0,1,1,0,1,1,0
14658,F,36,1,1,0,0,1,0,1,0,0,0
94004,M,37,0,0,0,0,1,1,0,1,1,0
109048,M,49,0,1,0,0,0,0,0,0,0,0
75792,M,50,0,0,0,1,0,0,0,1,0,0
91609,M,24,0,1,0,0,0,0,0,0,1,0
71078,M,31,0,0,0,1,1,1,0,1,0,0
93037,F,41,0,1,0,1,0,0,0,1,1,1
38608,M,21,1,0,1,0,0,0,0,0,0,0
36190,M,18,1,0,0,1,0,0,0,0,0,0
39914,F,26,0,0,0,0,1,1,0,0,0,0
72901,F,39,1,0,0,1,0,0,0,0,1,0
98204,M,18,0,1,0,0,0,1,0,1,0,0
92883,F,27,0,1,0,0,0,0,0,0,1,0
50142,M,23,0,0,0,0,0,1,0,0,0,0
82419,F,31,0,0,0,1,0,1,0,1,0,0
11230,M,42,0,0,0,0,0,0,0,0,0,1
20386,F,32,1,0,0,0,0,0,1,0,0,0
104800,M,29,1,0,0,1,0,0,0,0,0,1
44775,F,44,0,0,0,0,0,0,0,0,0,1
21787,M,45,0,0,0,1,0,0,0,1,0,0
31384,M,27,1,1,0,1,0,0,1,1,1,0
83340,F,44,0,0,1,0,1,1,0,1,0,0
103166,F,33,1,1,1,1,0,0,0,0,0,1
99347,F,44,0,0,0,0,1,0,0,0,0,0
103749,F,21,0,0,0,1,1,1,1,0,1,1
91928,F,19,0,1,0,0,1,0,0,0,0,0
63420,M,21,1,0,0,0,1,0,0,0,0,0
83500,M,21,0,1,1,0,1,1,1,1,0,0
81487,M,25,0,0,0,0,1,0,0,1,0,1
89460,M,16,1,1,1,1,0,0,0,1,0,1
85259,F,22,0,0,0,1,1,1,0,1,0,0
86612,M,27,0,0,0,1,1,1,0,1,0,0
86217,M,43,0,0,0,1,1,1,0,0,1,1
32380,F,20,0,1,0,0,0,0,0,0,1,0
56677,F,42,1,0,0,0,1,0,0,1,0,0
18334,F,43,1,0,0,1,0,0,1,1,0,0
20844,F,45,1,1,1,1,0,0,1,1,0,1
34750,F,48,1,1,1,1,0,0,0,0,0,0
15099,M,16,0,1,0,0,0,0,0,0,0,0
25668,F,19,1,0,0,1,0,0,0,0,0,1
28803,M,38,0,1,1,0,1,0,0,1,1,0
77232,M,22,0,1,0,1,1,0,0,1,0,1
32669,M,46,1,1,0,0,1,0,0,0,0,0
18126,F,19,1,1,0,1,1,1,0,0,1,0
106531,M,19,0,0,0,0,1,0,0,1,0,0
50180,M,42,0,1,1,1,0,0,0,1,0,0
46278,M,40,0,1,0,0,0,0,0,0,1,0
15882,M,20,0,0,0,0,0,1,0,0,0,0
78363,M,18,1,0,0,1,0,0,0,0,1,0
89485,M,28,1,0,0,1,0,0,0,0,0,0
73708,F,36,0,0,0,1,1,0,0,0,0,1
24493,M,45,0,0,0,0,0,0,0,0,0,1
94864,F,47,0,0,1,1,0,0,0,1,0,0
20991,M,25,0,1,0,0,1,1,0,1,0,0
83003,F,47,1,0,0,1,0,0,0,0,0,0
82901,F,33,1,0,1,1,0,0,0,0,1,0
42167,F,35,0,0,0,1,0,0,0,1,0,0
80198,F,47,0,0,0,0,0,1,0,0,0,0
73383,M,31,0,0,0,0,0,0,0,0,1,0
43228,M,44,1,1,0,0,1,1,0,1,0,0
34297,F,32,0,1,0,0,0,0,0,0,0,0
14912,M,28,0,1,1,0,0,0,0,0,0,1
84148,F,22,0,0,0,0,0,1,0,0,0,0
14890,M,29,1,0,1,1,1,0,0,1,0,0
24874,F,46,1,1,0,0,0,0,0,0,1,0
57207,M,48,1,0,0,1,1,0,0,0,0,0
46686,F,34,1,0,0,1,0,0,0,0,1,1
92675,F,47,0,0,0,0,1,1,1,1,0,0
75971,M,44,0,0,0,1,0,0,0,1,0,1
57101,M,49,0,0,0,0,1,0,0,1,0,0
82173,F,22,0,0,1,0,0,0,0,1,0,0
39817,F,49,0,0,0,0,0,1,0,1,0,0
12694,F,40,1,0,0,0,1,0,0,0,0,0
106489,F,41,0,0,1,1,0,0,0,0,0,0
23784,F,20,1,0,1,0,0,0,0,0,0,0
34756,F,18,0,0,1,1,0,0,0,1,0,1
83071,M,31,0,0,1,1,0,0,0,0,0,0
73441,F,20,1,1,0,0,0,0,0,0,0,0
13722,M,19,0,1,0,0,1,1,0,1,0,0
68104,F,45,0,0,0,0,1,0,0,0,0,0
86044,M,30,1,1,0,1,0,0,0,0,0,1
19211,M,28,1,0,0,1,0,0,0,0,0,0
107728,F,49,1,0,0,0,0,1,0,0,0,0
24686,F,28,0,0,0,1,1,1,0,1,0,0
31033,M,47,0,1,0,1,1,1,0,1,0,0
108153,F,32,0,0,0,0,1,0,0,0,0,1
16287,F,16,0,0,0,0,0,1,0,0,0,0
33233,M,28,1,0,1,0,1,0,0,0,1,1
71690,F,18,0,1,0,0,0,0,0,0,0,0
32392,M,22,0,0,0,0,0,0,0,0,1,0
109530,M,30,0,0,0,1,1,1,0,1,0,0
84756,M,32,0,1,1,1,0,0,0,0,1,1
54981,M,17,0,0,1,0,1,0,0,0,0,0
90165,F,24,0,0,0,1,0,0,0,1,0,0
92868,M,40,1,0,0,1,0,0,0,1,1,1
70336,F,20,0,0,0,0,0,1,0,0,0,0
28979,F,21,0,0,0,0,0,0,0,0,1,0
43962,M,49,0,0,1,0,0,0,0,0,0,0
26130,F,45,0,0,0,0,0,0,0,0,1,0
28935,F,46,0,0,0,0,0,1,0,0,0,0
66651,F,44,0,1,0,0,0,1,0,0,0,0
72979,M,18,0,1,1,0,1,1,0,0,1,0
70014,M,25,1,1,1,1,0,0,0,1,0,1
18143,F,36,0,0,0,0,0,1,0,0,0,0
19078,M,28,1,0,0,1,0,0,0,0,0,0
44452,F,30,1,0,0,1,0,0,0,1,0,0
47645,F,35,0,0,0,0,0,0,0,0,0,0
21347,F,24,0,0,0,0,0,1,0,0,1,0
109583,M,34,1,1,0,0,0,0,0,0,0,1
12782,F,31,0,0,0,0,1,1,0,1,0,0
45019,M,48,0,0,0,0,0,1,0,0,0,0
50961,F,16,0,1,0,0,0,0,0,0,1,0
70428,F,42,0,0,1,0,0,1,0,0,0,0
95026,F,29,1,0,0,1,1,0,0,0,0,0
35197,M,38,1,0,0,1,0,0,0,0,0,0
59389,F,29,1,0,1,1,0,1,1,1,0,1
44594,F,50,0,0,0,1,1,1,0,1,1,0
106044,M,29,0,0,1,0,0,0,0,0,1,0
60159,M,47,0,0,0,1,0,0,1,0,0,0
60153,M,31,1,0,0,0,1,1,0,1,0,0
35561,M,24,1,0,0,1,0,0,0,0,0,0
38055,F,25,0,1,0,0,0,0,0,0,0,0
11119,F,27,0,0,0,0,1,0,0,0,0,0
30423,F,45,0,0,0,0,0,0,0,0,1,0
99410,F,40,0,1,0,0,1,0,0,1,0,0
102887,M,46,0,0,0,1,0,0,0,0,0,0
36405,F,19,0,0,0,1,0,0,0,0,0,0
66551,M,30,0,0,0,0,0,1,0,0,0,0
51384,F,47,0,1,1,1,1,0,0,0,0,0
64239,M,22,0,0,0,1,0,1,1,0,1,1
81745,F,49,0,0,0,0,1,1,0,1,0,1
72902,F,16,0,0,0,1,1,0,1,1,0,1
107505,F,32,1,1,1,0,1,1,0,1,0,1
64892,F,46,0,1,0,0,0,1,0,0,0,0
56097,F,25,0,1,0,0,0,0,0,0,0,0
13564,F,19,1,0,1,1,0,1,1,0,0,0
42163,M,29,0,0,0,0,0,0,0,1,0,0
108855,F,30,1,0,0,0,0,1,0,0,1,1
11220,M,27,1,0,1,1,1,0,0,1,0,0
105007,F,45,0,1,0,0,0,1,0,0,0,0
89649,F,24,0,1,1,0,0,0,0,0,0,0
68193,F,24,0,0,1,0,1,1,0,1,0,1
37166,F,23,1,0,0,1,0,0,0,0,1,0
83439,F,43,0,1,1,0,1,0,0,1,0,1
35979,M,35,0,0,1,0,0,0,0,0,1,0
74463,F,36,1,0,1,1,0,0,0,0,0,0
78030,F,38,0,0,1,0,0,0,0,0,0,0
85585,F,46,1,0,0,1,0,1,0,0,0,1
58288,M,24,0,0,0,1,0,0,0,1,0,0
21875,F,17,0,1,0,0,1,1,0,1,0,1
